1. Josh Allen, Bills (QB1)
2. Lamar Jackson, Ravens (QB2)
3. Jalen Hurts, Eagles (QB3)
4. Joe Burrow, Bengals (QB4)
5. Drake Maye, Patriots (QB5)
6. Jayden Daniels, Commanders (QB6)
7. Ja'Marr Chase, Bengals (WR1)
8. Puka Nacua, Rams (WR2)
9. Jaxon Smith-Njigba, Seahawks (WR3)
10. Amon-Ra St. Brown, Lions (WR4)
11. Jahmyr Gibbs, Lions (RB1)
12. Bijan Robinson, Falcons (RB2)
13. Jonathan Taylor, Colts (RB3)
14. Brock Purdy, 49ers (QB7)
15. Patrick Mahomes, Chiefs (QB8)
16. De'Von Achane, Dolphins (RB4)
17. Dak Prescott, Cowboys (QB9)
18. CeeDee Lamb, Cowboys (WR5)
19. Justin Jefferson, Vikings (WR6)
20. Drake London, Falcons (WR7)
21. James Cook III, Bills (RB5)
22. Derrick Henry, Ravens (RB6)
23. Chase Brown, Bengals (RB7)
24. Trey McBride, Cardinals (TE1)
25. Brock Bowers, Raiders (TE2)
26. Christian McCaffrey, 49ers (RB8)
27. Jaxson Dart, Giants (QB10)
28. Justin Herbert, Chargers (QB11)
29. Matthew Stafford, Rams (QB12)
30. Trevor Lawrence, Jaguars (QB13)
31. Caleb Williams, Bears (QB14)
32. Bo Nix, Broncos (QB15)
33. Ashton Jeanty, Raiders (RB9)
34. Saquon Barkley, Eagles (RB10)
35. Omarion Hampton, Chargers (RB11)
36. Nico Collins, Texans (WR8)
37. Chris Olave, Saints (WR9)
38. Garrett Wilson, Jets (WR10)
39. A.J. Brown, Patriots (WR11)
40. George Pickens, Cowboys (WR12)
41. Kyler Murray, Vikings (QB16)
42. Tyler Shough, Saints (QB17)
43. Baker Mayfield, Buccaneers (QB18)
44. Jared Goff, Lions (QB19)
45. Josh Jacobs, Packers (RB12)
46. Breece Hall, Jets (RB13)
47. Kenneth Walker III, Chiefs (RB14)
48. Javonte Williams, Cowboys (RB15)
49. Jeremiyah Love, Cardinals (RB16)
50. Kyren Williams, Rams (RB17)
51. Zay Flowers, Ravens (WR13)
52. DeVonta Smith, Eagles (WR14)
53. Davante Adams, Rams (WR15)
54. Tetairoa McMillan, Panthers (WR16)
55. Tee Higgins, Bengals (WR17)
56. Rashee Rice, Chiefs (WR18)
57. Emeka Egbuka, Buccaneers (WR19)
58. Ladd McConkey, Chargers (WR20)
59. Terry McLaurin, Commanders (WR21)
60. Jameson Williams, Lions (WR22)
61. Jaylen Waddle, Broncos (WR23)
62. Travis Etienne Jr., Saints (RB18)
63. Quinshon Judkins, Browns (RB19)
64. Cam Skattebo, Giants (RB20)
65. C.J. Stroud, Texans (QB20)
66. Jordan Love, Packers (QB21)
67. Daniel Jones, Colts (QB22)
68. Sam Darnold, Seahawks (QB23)
69. Malik Willis, Dolphins (QB24)
70. D'Andre Swift, Bears (RB21)
71. Jadarian Price, Seahawks (RB22)
72. Bhayshul Tuten, Jaguars (RB23)
73. David Montgomery, Texans (RB24)
74. Colston Loveland, Bears (TE3)
75. Tyler Warren, Colts (TE4)
76. Harold Fannin Jr., Browns (TE5)
77. Malik Nabers, Giants (WR24)
78. Mike Evans, 49ers (WR25)
79. Stefon Diggs, Commanders (WR26)
80. Rhamondre Stevenson, Patriots (RB25)
81. TreVeyon Henderson, Patriots (RB26)
82. Bucky Irving, Buccaneers (RB27)
83. Kenneth Gainwell, Buccaneers (RB28)
84. DJ Moore, Bills (WR27)
85. Rome Odunze, Bears (WR28)
86. Luther Burden III, Bears (WR29)
87. Tony Pollard, Titans (RB29)
88. Jaylen Warren, Steelers (RB30)
89. Rico Dowdle, Steelers (RB31)
90. Aaron Jones Sr., Vikings (RB32)
91. Courtland Sutton, Broncos (WR30)
92. Carnell Tate, Titans (WR31)
93. Bryce Young, Panthers (QB25)
94. Cam Ward, Titans (QB26)
95. Sam LaPorta, Lions (TE6)
96. Tucker Kraft, Packers (TE7)
97. George Kittle, 49ers (TE8)
98. Jonathon Brooks, Panthers (RB33)
99. Chuba Hubbard, Panthers (RB34)
100. Kyle Pitts Sr., Falcons (TE9)
101. Travis Kelce, Chiefs (TE10)
102. Michael Pittman Jr., Steelers (WR32)
103. DK Metcalf, Steelers (WR33)
104. Marvin Harrison Jr., Cardinals (WR34)
105. Michael Wilson, Cardinals (WR35)
106. Christian Watson, Packers (WR36)
107. Matthew Golden, Packers (WR37)
108. Rachaad White, Commanders (RB35)
109. J.K. Dobbins, Broncos (RB36)
110. Kyle Monangai, Bears (RB37)
111. Blake Corum, Rams (RB38)
112. RJ Harvey, Broncos (RB39)
113. Parker Washington, Jaguars (WR38)
114. Jakobi Meyers, Jaguars (WR39)
115. Fernando Mendoza, Raiders (QB27)
116. Aaron Rodgers, Steelers (QB28)
117. Geno Smith, Jets (QB29)
118. Alec Pierce, Colts (WR40)
119. Josh Downs, Colts (WR41)
120. Jordyn Tyson, Saints (WR42)
121. Wan'Dale Robinson, Titans (WR43)
122. Brian Thomas Jr., Jaguars (WR44)
123. Tyjae Spears, Titans (RB40)
124. Alvin Kamara, Saints (RB41)
125. Jordan Addison, Vikings (WR45)
126. Khalil Shakir, Bills (WR46)
127. Xavier Worthy, Chiefs (WR47)
128. Chris Godwin Jr., Buccaneers (WR48)
129. Quentin Johnston, Chargers (WR49)
130. Mark Andrews, Ravens (TE11)
131. Jake Ferguson, Cowboys (TE12)
132. Dallas Goedert, Eagles (TE13)
133. Deebo Samuel, 49ers (WR50)
134. Jayden Reed, Packers (WR51)
135. Jacoby Brissett, Cardinals (QB30)
136. Tua Tagovailoa, Falcons (QB31)
137. Michael Penix Jr., Falcons (QB32)
138. Deshaun Watson, Browns (QB33)
139. Shedeur Sanders, Browns (QB34)
140. Makai Lemon, Eagles (WR52)
141. KC Concepcion, Browns (WR53)
142. Denzel Boston, Browns (WR54)
143. De'Zhaun Stribling, 49ers (WR55)
144. Jordan Mason, Vikings (RB42)
145. Isiah Pacheco, Lions (RB43)
146. Tyler Allgeier, Cardinals (RB44)
147. Romeo Doubs, Patriots (WR56)
148. Jerry Jeudy, Browns (WR57)
149. Rashid Shaheed, Seahawks (WR58)
150. Jalen Coker, Panthers (WR59)
151. Jayden Higgins, Texans (WR60)
