Rank	Player	Position	Team
1.50	Bijan Robinson	RB	ATL
2.80	Jahmyr Gibbs	RB	DET
3.00	Josh Allen	QB	BUF
4.40	Ja'Marr Chase	WR	CIN
5.20	Puka Nacua	WR	LAR
6.90	Jaxon Smith-Njigba	WR	SEA
7.50	Drake Maye	QB	NE
7.90	Christian McCaffrey	RB	SF
9.50	Jonathan Taylor	RB	IND
10.70	Lamar Jackson	QB	BAL
11.50	Amon-Ra St. Brown	WR	DET
12.80	James Cook	RB	BUF
13.90	CeeDee Lamb	WR	DAL
14.70	Joe Burrow	QB	CIN
15.10	Justin Jefferson	WR	MIN
15.50	Ashton Jeanty	RB	LV
17.80	Jayden Daniels	QB	WAS
18.10	De'Von Achane	RB	MIA
19.40	Trey McBride	TE	ARI
20.60	Saquon Barkley	RB	PHI
21.90	Brock Bowers	TE	LV
22.20	Caleb Williams	QB	CHI
23.20	Omarion Hampton	RB	LAC
23.30	Kenneth Walker	RB	KC
25.30	Drake London	WR	ATL
26.40	A.J. Brown	WR	NE
27.60	Chase Brown	RB	CIN
28.20	Jalen Hurts	QB	PHI
29.60	Nico Collins	WR	HOU
30.20	George Pickens	WR	DAL
31.40	Jeremiyah Love	RB	ARI
31.70	Derrick Henry	RB	BAL
33.10	Justin Herbert	QB	LAC
34.90	Malik Nabers	WR	NYG
35.60	Chris Olave	WR	NO
36.10	Rashee Rice	WR	KC
37.70	Jaxson Dart	QB	NYG
38.70	Colston Loveland	TE	CHI
39.30	Dak Prescott	QB	DAL
39.80	Josh Jacobs	RB	GB
41.20	Trevor Lawrence	QB	JAX
42.30	Patrick Mahomes	QB	KC
43.90	Breece Hall	RB	NYJ
44.00	Kyren Williams	RB	LAR
45.30	Bo Nix	QB	DEN
46.40	Tetairoa McMillan	WR	CAR
47.30	Tyler Warren	TE	IND
47.50	Tee Higgins	WR	CIN
49.80	Javonte Williams	RB	DAL
50.30	Bucky Irving	RB	TB
51.70	Zay Flowers	WR	BAL
52.80	Brock Purdy	QB	SF
53.30	DeVonta Smith	WR	PHI
54.20	Garrett Wilson	WR	NYJ
55.30	Ladd McConkey	WR	LAC
55.90	Emeka Egbuka	WR	TB
57.40	Cam Skattebo	RB	NYG
58.20	Travis Etienne	RB	NO
59.10	Jaylen Waddle	WR	DEN
60.70	Luther Burden	WR	CHI
61.70	Jared Goff	QB	DET
62.90	Davante Adams	WR	LAR
63.90	TreVeyon Henderson	RB	NE
64.00	Matthew Stafford	QB	LAR
65.70	Quinshon Judkins	RB	CLE
66.80	Jordan Love	QB	GB
67.00	Terry McLaurin	WR	WAS
68.30	D'Andre Swift	RB	CHI
69.30	Sam LaPorta	TE	DET
70.90	Jameson Williams	WR	DET
71.60	David Montgomery	RB	HOU
71.70	Baker Mayfield	QB	TB
73.80	DJ Moore	WR	BUF
74.30	Harold Fannin	TE	CLE
75.50	Bhayshul Tuten	RB	JAX
76.20	Mike Evans	WR	SF
77.90	Tucker Kraft	TE	GB
78.60	Kyle Pitts	TE	ATL
79.00	Carnell Tate	WR	TEN
79.50	Rome Odunze	WR	CHI
