Rank	Player	Position	Team
1	Jeremiyah Love	RB	
2	Carnell Tate	WR	
3	Jordyn Tyson	WR	
4	Fernando Mendoza	QB	
5	Makai Lemon	WR	
6	Jadarian Price	RB	
7	KC Concepcion	WR	
8	Omar Cooper Jr.	WR	
9	Denzel Boston	WR	
10	Kenyon Sadiq	TE	
11	Ty Simpson	QB	
12	De'Zhaun Stribling	WR	
13	Jonah Coleman	RB	
14	Nicholas Singleton	RB	
15	Eli Stowers	TE	
16	Antonio Williams	WR	
17	Chris Bell	WR	
18	Zachariah Branch	WR	
19	Malachi Fields	WR	
20	Ted Hurst III	WR	
21	Carson Beck	QB	
22	Germie Bernard	WR	
23	Ja'Kobi Lane	WR	
24	Demond Claiborne	RB	
25	Skyler Bell	WR	
26	Cyrus Allen	WR	
27	Kaelon Black	RB	
28	Mike Washington Jr.	RB	
29	Emmett Johnson	RB	
30	Kaytron Allen	RB	
31	Max Klare	TE	
32	Oscar Delp	TE	
33	Justin Joly	TE	
34	Eli Raridon	TE	
35	Caleb Douglas	WR	
36	Zavion Thomas	WR	
37	Drew Allar	QB	
38	Adam Randall	RB	
39	Chris Brazzell II	WR	
40	Brenen Thompson	WR	
41	Elijah Sarratt	WR	
42	Kevin Coleman Jr.	WR	
43	Seth McGowan	RB	
44	CJ Daniels	WR	
45	Cade Klubnik	QB	
46	Taylen Green	QB	
47	Malik Benson	WR	
48	Marlin Klein	TE	
49	Matt Hibner	TE	
50	Bryce Lance	WR	
51	Colbie Young	WR	
52	Jalon Daniels	QB	
53	Cole Payton	QB	
54	Tanner Koziol	TE	
55	Garrett Nussmeier	QB	
56	Reggie Virgil	WR	
57	Nate Boerkircher	TE	
58	Josh Cameron	WR	
59	Jam Miller	RB	
60	CJ Williams	WR	
61	Deion Burks	WR	
62	Jack Endries	TE	
63	Sam Roush	TE	
64	Eli Heidenreich	RB	
65	J'Mari Taylor	RB	
66	Joe Royer	TE	
67	Will Kacmarek	TE	
68	Seydou Traore	TE	
69	Josh Cuevas	TE	
70	Michael Trigg	TE	
71	Kaden Wetjen	WR	
72	Barion Brown	WR	
73	Lewis Bond	WR	
74	Kendrick Law	WR	
75	Jaydn Ott	RB	
76	Roman Hemby	RB	
77	Noah Whittington	RB	
78	Emmanuel Henderson Jr.	WR	
79	J. Michael Sturdivant	WR	
80	Jamal Haynes	RB	
81	John Michael Gyllenborg	TE	
82	Dae'Quan Wright	TE	
83	Bauer Sharp	TE	
84	Dallen Bentley	TE	
85	Jeff Caldwell	WR	
86	Riley Nowakowski	TE	
87	Jaren Kanak	TE	
88	Luke Altmyer	QB	
89	Behren Morton	QB	
90	Eric Rivers Jr.	WR	
