Rank	Player	Position	Team
1	Ja'Marr Chase	WR	CIN
2	Jahmyr Gibbs	RB	DET
3	Bijan Robinson	RB	ATL
4	Puka Nacua	WR	LAR
5	Jaxon Smith-Njigba	WR	SEA
6	Ashton Jeanty	RB	LV
7	Jeremiyah Love	RB	ARI
8	Amon-Ra St. Brown	WR	DET
9	Omarion Hampton	RB	LAC
10	Justin Jefferson	WR	MIN
11	Malik Nabers	WR	NYG
12	Drake London	WR	ATL
13	CeeDee Lamb	WR	DAL
14	Brock Bowers	TE	LV
15	De'Von Achane	RB	MIA
16	Tetairoa McMillan	WR	CAR
17	James Cook III	RB	BUF
18	Jonathan Taylor	RB	IND
19	Nico Collins	WR	HOU
20	Trey McBride	TE	ARI
21	Ladd McConkey	WR	LAC
22	Emeka Egbuka	WR	TB
23	George Pickens	WR	DAL
24	Josh Allen	QB	BUF
25	Colston Loveland	TE	CHI
26	Lamar Jackson	QB	BAL
27	Chris Olave	WR	NO
28	Drake Maye	QB	NE
29	Garrett Wilson	WR	NYJ
30	Kenneth Walker III	RB	KC
31	Jayden Daniels	QB	WAS
32	Quinshon Judkins	RB	CLE
33	Rashee Rice	WR	KC
34	Luther Burden III	WR	CHI
35	Tyler Warren	TE	IND
36	Jordyn Tyson	WR	NO
37	Carnell Tate	WR	TEN
38	Rome Odunze	WR	CHI
39	Chase Brown	RB	CIN
40	TreVeyon Henderson	RB	NE
41	Tucker Kraft	TE	GB
42	Breece Hall	RB	NYJ
43	Joe Burrow	QB	CIN
44	Marvin Harrison Jr.	WR	ARI
45	DeVonta Smith	WR	PHI
46	Jaylen Waddle	WR	MIA
47	Zay Flowers	WR	BAL
48	Tee Higgins	WR	CIN
49	Jameson Williams	WR	DET
50	Brian Thomas Jr.	WR	JAC
51	Cam Skattebo	RB	NYG
52	Christian McCaffrey	RB	SF
53	Saquon Barkley	RB	PHI
54	Harold Fannin Jr.	TE	CLE
55	Javonte Williams	RB	DAL
56	Patrick Mahomes II	QB	KC
57	Jayden Higgins	WR	HOU
58	Justin Herbert	QB	LAC
60	KC Concepcion	WR	CLE
61	A.J. Brown	WR	NE
62	Travis Etienne Jr.	RB	NO
63	Terry McLaurin	WR	WAS
64	Jalen Hurts	QB	PHI
65	Kyren Williams	RB	LAR
66	Caleb Williams	QB	CHI
67	Derrick Henry	RB	BAL
68	Bucky Irving	RB	TB
69	Kyle Pitts Sr.	TE	ATL
70	Sam LaPorta	TE	DET
71	Oronde Gadsden II	TE	LAC
72	DJ Moore	WR	BUF
73	Parker Washington	WR	JAC
74	Jonathon Brooks	RB	CAR
75	Jadarian Price	RB	SEA
76	Jordan Addison	WR	MIN
77	Christian Watson	WR	GB
78	Josh Jacobs	RB	GB
79	Alec Pierce	WR	IND
80	Josh Downs	WR	IND
81	Trevor Lawrence	QB	JAC
82	Kenyon Sadiq	TE	NYJ
83	Eli Stowers	TE	PHI
84	DK Metcalf	WR	PIT
85	D'Andre Swift	RB	CHI
86	Bhayshul Tuten	RB	JAC
87	Jaxson Dart	QB	NYG
88	Wan'Dale Robinson	WR	NYG
89	Isaiah Likely	TE	NYG
90	Ricky Pearsall	WR	SF
91	Kyle Monangai	RB	CHI
92	Brock Purdy	QB	SF
93	David Montgomery	RB	HOU
94	Chris Godwin Jr.	WR	TB
95	Jaylen Warren	RB	PIT
96	Mike Evans	WR	SF
97	Bo Nix	QB	DEN
98	Dak Prescott	QB	DAL
99	Kenneth Gainwell	RB	TB
100	Davante Adams	WR	LAR
101	Courtland Sutton	WR	DEN
102	Rico Dowdle	RB	PIT
103	Michael Wilson	WR	ARI
104	RJ Harvey	RB	DEN
105	Baker Mayfield	QB	TB
106	Fernando Mendoza	QB	LV
107	Jakobi Meyers	WR	JAC
108	Michael Pittman Jr.	WR	PIT
109	Rhamondre Stevenson	RB	NE
110	Quentin Johnston	WR	LAC
111	Xavier Worthy	WR	KC
112	Chuba Hubbard	RB	CAR
113	Brenton Strange	TE	JAC
114	Jake Ferguson	TE	DAL
115	George Kittle	TE	SF
116	Jayden Reed	WR	GB
117	Blake Corum	RB	LAR
118	Kyler Murray	QB	MIN
119	Khalil Shakir	WR	BUF
120	Dalton Kincaid	TE	BUF
121	Jalen Coker	WR	CAR
122	Chris Bell	WR	MIA
123	Denzel Boston	WR	CLE
124	Romeo Doubs	WR	NE
125	Tony Pollard	RB	TEN
126	Jalen McMillan	WR	TB
127	Zach Charbonnet	RB	SEA
128	Jonah Coleman	RB	DEN
129	Matthew Stafford	QB	LAR
130	Skyler Bell	WR	BUF
131	De'Zhaun Stribling	WR	SF
132	Matthew Golden	WR	GB
133	Jared Goff	QB	DET
134	Germie Bernard	WR	PIT
135	Antonio Williams	WR	WAS
136	Omar Cooper Jr.	WR	NYJ
137	Travis Hunter	WR	JAC
138	Ted Hurst	WR	TB
139	Mark Andrews	TE	BAL
140	Travis Kelce	TE	KC
141	Rachaad White	RB	WAS
142	C.J. Stroud	QB	HOU
143	Tyler Shough	QB	NO
144	Brandon Aiyuk	WR	SF
145	Jalen Nailor	WR	LV
146	Jacory Croskey-Merritt	RB	WAS
147	Cam Ward	QB	TEN
148	Jordan Love	QB	GB
149	Emmett Johnson	RB	KC
150	Keaton Mitchell	RB	LAC
151	J.K. Dobbins	RB	DEN
152	Malik Willis	QB	MIA
153	Jaylin Noel	WR	HOU
154	AJ Barner	TE	SEA
155	Chig Okonkwo	TE	WAS
156	Chris Rodriguez Jr.	RB	JAC
157	Aaron Jones Sr.	RB	MIN
158	Tyler Allgeier	RB	ARI
159	Dontayvion Wicks	WR	PHI
160	Jack Bech	WR	LV
161	Rashid Shaheed	WR	SEA
162	Isaac TeSlaa	WR	DET
163	Terrance Ferguson	TE	LAR
164	Greg Dulcich	TE	MIA
165	Isiah Pacheco	RB	DET
166	Jordan Mason	RB	MIN
167	Adonai Mitchell	WR	NYJ
168	Tre Tucker	WR	LV
169	Bryce Lance	WR	NO
170	Tyjae Spears	RB	TEN
171	Nicholas Singleton	RB	TEN
172	Stefon Diggs	WR	NE
173	Jordan James	RB	SF
174	Tank Bigsby	RB	PHI
175	Tank Dell	WR	HOU
177	Daniel Jones	QB	IND
178	Ray Davis	RB	BUF
179	Sean Tucker	RB	TB
180	Gunnar Helm	TE	TEN
181	Mike Washington Jr.	RB	LV
182	Kaytron Allen	RB	WAS
183	Ryan Flournoy	WR	DAL
184	Chimere Dike	WR	TEN
185	Michael Mayer	TE	LV
186	Mason Taylor	TE	NYJ
187	Tyreek Hill	WR	FA
188	Braelon Allen	RB	NYJ
190	Darnell Washington	TE	PIT
191	Oscar Delp	TE	NO
192	Eli Raridon	TE	NE
193	Jauan Jennings	WR	MIN
194	Kayshon Boutte	WR	NE
195	Tory Horton	WR	SEA
196	Elic Ayomanor	WR	TEN
197	Malik Washington	WR	MIA
198	Demond Claiborne	RB	MIN
199	Jerry Jeudy	WR	CLE
200	MarShawn Lloyd	RB	GB
