Rank	Player	Position	Team
1	Jeremiyah Love	RB	ARI
2	Jordyn Tyson	WR	NO
3	Carnell Tate	WR	TEN
4	Fernando Mendoza	QB	LV
5	Makai Lemon	WR	PHI
6	KC Concepcion	WR	CLE
7	Kenyon Sadiq	TE	NYJ
8	Jadarian Price	RB	SEA
9	Eli Stowers	TE	PHI
10	Chris Bell	WR	MIA
11	Denzel Boston	WR	CLE
12	Skyler Bell	WR	BUF
13	Ty Simpson	QB	LAR
14	De'Zhaun Stribling	WR	SF
15	Omar Cooper Jr.	WR	NYJ
16	Antonio Williams	WR	WAS
17	Germie Bernard	WR	PIT
18	Jonah Coleman	RB	DEN
19	Ted Hurst	WR	TB
20	Emmett Johnson	RB	KC
21	Nicholas Singleton	RB	TEN
22	Bryce Lance	WR	NO
23	Malachi Fields	WR	NYG
24	Chris Brazzell II	WR	CAR
25	Mike Washington Jr.	RB	LV
26	Kaytron Allen	RB	WAS
27	Carson Beck	QB	ARI
28	Taylen Green	QB	CLE
29	Demond Claiborne	RB	MIN
30	Ja'Kobi Lane	WR	BAL
31	Elijah Sarratt	WR	BAL
32	Drew Allar	QB	PIT
33	Eli Raridon	TE	NE
34	Oscar Delp	TE	NO
35	Cole Payton	QB	PHI
36	Max Klare	TE	LAR
37	Kaelon Black	RB	SF
38	Adam Randall	RB	BAL
39	Eli Heidenreich	RB	PIT
40	Deion Burks	WR	IND
41	Zachariah Branch	WR	ATL
42	Malik Benson	WR	LV
43	Brenen Thompson	WR	LAC
44	Cade Klubnik	QB	NYJ
45	Garrett Nussmeier	QB	KC
46	Marlin Klein	TE	HOU
47	Justin Joly	TE	DEN
48	Michael Trigg	TE	DAL
49	Zavion Thomas	WR	CHI
50	Joe Royer	TE	CLE
