Player	PPR	Standard	Superflex
Jahmyr Gibbs	1	1	8
Bijan Robinson	2	2	9
Puka Nacua	3	3	3
Ja'Marr Chase	4	4	1
Jaxon Smith-Njigba	5	5	2
Christian McCaffrey	6	6	15
Jonathan Taylor	7	7	13
Amon-Ra St. Brown	8	8	4
CeeDee Lamb	9	9	16
De'Von Achane	10	13	14
Justin Jefferson	11	11	18
James Cook III	12	12	28
Jeremiyah Love	13	18	35
Drake London	14	14	17
Ashton Jeanty	15	19	33
Rashee Rice	16	16	43
Trey McBride	17	17	22
Omarion Hampton	18	20	44
Saquon Barkley	19	15	34
Derrick Henry	20	10	31
Chase Brown	21	23	32
Kenneth Walker III	22	21	45
Josh Jacobs	23	22	46
Brock Bowers	24	24	36
Nico Collins	25	25	23
Garrett Wilson	26	32	24
A.J. Brown	27	26	42
Chris Olave	28	29	37
George Pickens	29	27	38
Breece Hall	30	30	52
Javonte Williams	31	31	53
Malik Nabers	32	28	39
Tetairoa McMillan	33	74	56
Zay Flowers	34	35	47
DeVonta Smith	35	75	57
Josh Allen	36	36	5
Kyren Williams	69	69	54
Travis Etienne Jr.	70	70	59
Cam Skattebo	71	72	61
Quinshon Judkins	72	71	60
Bucky Irving	73	73	63
Emeka Egbuka	74	33	85
Davante Adams	75	34	48
Ladd McConkey	76	77	68
Terry McLaurin	77	79	69
Tee Higgins	78	78	49
Jaylen Waddle	79	83	72
Jameson Williams	80	76	70
Colston Loveland	81	81	55
Tyler Warren	82	82	66
Carnell Tate	83	85	73
Rome Odunze	84	80	93
Luther Burden III	85	86	94
DJ Moore	86	84	86
Jayden Daniels	87	87	12
Lamar Jackson	88	88	6
Drake Maye	89	89	7
Jalen Hurts	90	90	10
TreVeyon Henderson	91	93	62
Bhayshul Tuten	93	91	82
D'Andre Swift	94	94	64
David Montgomery	95	95	79
Jadarian Price	96	96	65
Tony Pollard	97	97	89
Courtland Sutton	99	99	84
Michael Pittman Jr.	100	114	97
Alec Pierce	101	100	92
Marvin Harrison Jr.	102	101	108
DK Metcalf	103	103	98
Jordyn Tyson	104	112	99
Kyle Pitts Sr.	105	105	91
Harold Fannin Jr.	106	106	67
Sam LaPorta	107	107	90
Joe Burrow	108	108	11
Jaxson Dart	111	111	21
Mike Evans	112	102	71
Parker Washington	113	113	112
Christian Watson	114	104	109
Matthew Golden	115	116	149
Michael Wilson	116	125	107
Brian Thomas Jr.	117	115	135
Trevor Lawrence	118	118	29
Dak Prescott	119	119	26
Bo Nix	120	120	30
Brock Purdy	121	121	19
Matthew Stafford	123	123	27
Caleb Williams	124	124	20
Jakobi Meyers	125	126	114
Wan'Dale Robinson	126	156	111
Travis Hunter	127	128	200
Makai Lemon	128	117	110
Josh Downs	129	171	161
Jordan Addison	130	127	116
Justin Herbert	131	131	40
Patrick Mahomes	132	132	25
Jaylen Warren	134	136	95
Rhamondre Stevenson	135	135	101
Rico Dowdle	136	134	96
Kenny Gainwell	137	139	100
Chuba Hubbard	138	138	80
Aaron Jones Sr.	139	148	81
George Kittle	141	141	142
Tucker Kraft	142	142	115
Dallas Goedert	143	143	122
Travis Kelce	144	151	118
Rachaad White	147	149	102
Jonathon Brooks	148	147	140
J.K. Dobbins	149	137	83
RJ Harvey	150	168	103
Jake Ferguson	151	152	123
Mark Andrews	152	144	120
T.J. Hockenson	155	165	139
Khalil Shakir	156	158	133
Jayden Reed	157	157	121
Xavier Worthy	158	129	119
Kyle Monangai	161	150	124
Kenyon Sadiq	162	155	166
Isaiah Likely	163	163	144
Dalton Kincaid	164	162	143
Hunter Henry	165	164	153
Jacory Croskey-Merritt	167	161	154
Blake Corum	168	167	125
Woody Marks	169	169	148
Zach Charbonnet	170	170	147
Quentin Johnston	171	130	150
KC Concepcion	173	173	117
Deebo Samuel Sr.	174	174	
Chris Godwin Jr.	175	175	113
Romeo Doubs	176	176	131
Jayden Higgins	177	177	163
Jalen Coker	179	179	159
Jerry Jeudy	180	180	145
Rashid Shaheed	181	181	151
Kyler Murray	182	182	58
Tyler Shough	183	183	41
Jared Goff	186	186	51
Daniel Jones	187	187	76
Jordan Mason	188	188	141
Alvin Kamara	189	190	138
Isiah Pacheco	190	189	146
Chris Rodriguez Jr.	193	193	177
Brian Robinson Jr.	194	194	182
