Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF,Underdog,RTSports,DraftSharks
1,Jahmyr Gibbs,RB,DET,1.35,8,1.0,1.7,2.0,1.0,1.0,1.1,1.0,2.0
2,Bijan Robinson,RB,ATL,1.69,7,2.0,1.8,1.0,2.0,,2.0,2.0,1.0
3,Ja'Marr Chase,WR,CIN,3.41,8,4.0,3.2,3.0,3.0,5.0,3.1,3.0,3.0
4,Puka Nacua,WR,LAR,3.81,8,3.0,4.5,4.0,4.0,3.0,4.0,4.0,4.0
5,Christian McCaffrey,RB,SF,5.45,8,6.0,5.5,5.0,5.0,6.0,6.1,5.0,5.0
6,Jaxon Smith-Njigba,WR,SEA,6.22,8,5.0,6.2,7.0,6.0,7.0,5.6,6.0,7.0
7,Jonathan Taylor,RB,IND,6.49,8,7.0,7.1,6.0,7.0,4.0,7.8,7.0,6.0
8,Amon-Ra St. Brown,WR,DET,8.46,8,8.0,8.6,8.0,8.0,11.0,7.1,9.0,8.0
9,James Cook III,RB,BUF,9.84,8,12.0,9.9,9.0,9.0,9.0,10.8,10.0,9.0
10,Justin Jefferson,WR,MIN,10.7,8,11.0,12.2,11.0,11.0,8.0,10.4,11.0,11.0
11,CeeDee Lamb,WR,DAL,10.95,8,9.0,10.0,10.0,12.0,12.0,9.6,15.0,10.0
12,Ashton Jeanty,RB,LV,11.95,8,15.0,13.5,12.0,10.0,13.0,12.1,8.0,12.0
13,De'Von Achane,RB,MIA,13.36,8,10.0,15.6,14.0,13.0,10.0,18.3,12.0,14.0
14,Saquon Barkley,RB,PHI,14.71,8,19.0,13.1,13.0,14.0,16.0,13.6,16.0,13.0
15,Chase Brown,RB,CIN,16.04,8,21.0,16.9,17.0,15.0,14.0,15.4,13.0,16.0
16,Omarion Hampton,RB,LAC,16.04,8,18.0,18.6,15.0,16.0,17.0,14.7,14.0,15.0
17,Drake London,WR,ATL,17.48,8,14.0,17.6,16.0,17.0,18.0,21.2,19.0,17.0
18,Kenneth Walker III,RB,KC,18.32,8,22.0,18.5,22.0,18.0,15.0,15.1,17.0,19.0
19,Derrick Henry,RB,BAL,20.48,8,20.0,18.7,23.0,21.0,19.0,17.1,23.0,22.0
20,Trey McBride,TE,ARI,21.27,8,17.0,24.2,18.0,19.0,27.0,29.0,18.0,18.0
21,Brock Bowers,TE,LV,21.79,8,24.0,20.5,19.0,20.0,29.0,19.8,22.0,20.0
22,AJ. Brown,WR,NE,22.06,8,27.0,25.7,20.0,23.0,20.0,18.8,21.0,21.0
23,Nico Collins,WR,HOU,23.16,8,25.0,21.5,21.0,24.0,22.0,22.8,26.0,23.0
24,Jeremiyah Love,RB,ARI,24.12,8,13.0,27.0,24.0,26.0,24.0,27.0,27.0,25.0
25,George Pickens,WR,DAL,26.1,8,29.0,22.4,29.0,25.0,28.0,23.4,24.0,28.0
26,Josh Allen,QB,BUF,26.65,8,36.0,19.4,26.0,22.0,30.0,35.8,20.0,24.0
27,Rashee Rice,WR,KC,27.11,8,16.0,32.5,25.0,29.0,33.0,25.4,30.0,26.0
28,Josh Jacobs,RB,GB,28.59,8,23.0,30.8,27.0,28.0,23.0,40.9,29.0,27.0
29,Chris Olave,WR,NO,28.68,8,28.0,32.5,30.0,27.0,26.0,30.9,25.0,30.0
30,Kyren Williams,RB,LAR,29.81,8,37.0,29.9,28.0,30.0,21.0,32.6,31.0,29.0
31,Javonte Williams,RB,DAL,32.12,8,31.0,34.9,32.0,31.0,32.0,36.1,28.0,32.0
32,Breece Hall,RB,NYJ,32.26,8,30.0,37.4,31.0,32.0,34.0,29.7,33.0,31.0
33,DeVonta Smith,WR,PHI,32.49,8,35.0,29.4,38.0,33.0,25.0,27.5,36.0,36.0
34,Malik Nabers,WR,NYG,33.59,8,32.0,35.8,36.0,34.0,41.0,24.9,32.0,33.0
35,Tetairoa McMillan,WR,CAR,37.34,8,33.0,40.3,33.0,38.0,37.0,39.4,44.0,34.0
36,Zay Flowers,WR,BAL,37.65,8,34.0,39.2,46.0,40.0,31.0,30.0,37.0,44.0
