Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros
1,Josh Allen,QB,BUF,1.5,4,1.0,1.0,3.0,1.0
2,Jahmyr Gibbs,RB,DET,3.95,4,4.0,2.0,2.8,7.0
3,Bijan Robinson,RB,ATL,4.38,4,5.0,3.0,1.5,8.0
4,Lamar Jackson,QB,BAL,5.92,4,3.0,8.0,10.7,2.0
5,Jayden Daniels,QB,WAS,7.2,4,2.0,4.0,17.8,5.0
6,Drake Maye,QB,NE,7.38,4,10.0,9.0,7.5,3.0
7,Ja'Marr Chase,WR,CIN,7.6,4,7.0,10.0,4.4,9.0
8,Joe Burrow,QB,CIN,9.93,4,16.0,5.0,14.7,4.0
9,Puka Nacua,WR,LAR,10.05,4,6.0,18.0,5.2,11.0
10,Christian McCaffrey,RB,SF,12.22,4,9.0,15.0,7.9,17.0
11,Jalen Hurts,QB,PHI,13.05,4,11.0,7.0,28.2,6.0
12,Jaxon Smith-Njigba,WR,SEA,14.72,4,8.0,31.0,6.9,13.0
13,Jonathan Taylor,RB,IND,14.88,4,12.0,20.0,9.5,18.0
14,Amon-Ra St. Brown,WR,DET,15.62,4,13.0,23.0,11.5,15.0
15,CeeDee Lamb,WR,DAL,20.48,4,14.0,35.0,13.9,19.0
16,Jaxson Dart,QB,NYG,21.43,4,17.0,11.0,37.7,20.0
17,Caleb Williams,QB,CHI,21.55,4,38.0,16.0,22.2,10.0
18,Dak Prescott,QB,DAL,21.82,4,26.0,6.0,39.3,16.0
19,James Cook III,RB,BUF,21.95,4,18.0,34.0,12.8,23.0
20,Justin Jefferson,WR,MIN,23.02,4,19.0,37.0,15.1,21.0
21,Trevor Lawrence,QB,JAX,23.05,4,25.0,12.0,41.2,14.0
22,De'Von Achane,RB,MIA,24.77,4,15.0,33.0,18.1,33.0
23,Justin Herbert,QB,LAC,25.27,4,39.0,17.0,33.1,12.0
24,Drake London,WR,ATL,27.57,4,20.0,38.0,25.3,27.0
25,Bo Nix,QB,DEN,28.82,4,27.0,19.0,45.3,24.0
26,Ashton Jeanty,RB,LV,28.88,4,28.0,47.0,15.5,25.0
27,Patrick Mahomes II,QB,KC,31.32,4,44.0,13.0,42.3,26.0
28,Saquon Barkley,RB,PHI,31.4,4,30.0,44.0,20.6,31.0
29,Brock Purdy,QB,SF,32.45,4,33.0,22.0,52.8,22.0
30,Derrick Henry,RB,BAL,33.92,4,31.0,36.0,31.7,37.0
31,Omarion Hampton,RB,LAC,34.05,4,29.0,48.0,23.2,36.0
32,Chase Brown,RB,CIN,34.65,4,40.0,42.0,27.6,29.0
33,Nico Collins,WR,HOU,35.4,4,24.0,54.0,29.6,34.0
34,Trey McBride,TE,ARI,36.1,4,21.0,63.0,19.4,41.0
35,Kenneth Walker III,RB,KC,37.33,4,41.0,45.0,23.3,40.0
36,AJ. Brown,WR,NE,37.35,4,36.0,57.0,26.4,30.0
37,Matthew Stafford,QB,LAR,37.5,4,34.0,24.0,64.0,28.0
38,Jeremiyah Love,RB,ARI,38.85,4,22.0,50.0,31.4,52.0
39,Brock Bowers,TE,LV,39.23,4,32.0,71.0,21.9,32.0
40,George Pickens,WR,DAL,39.55,4,47.0,43.0,30.2,38.0
41,Rashee Rice,WR,KC,40.02,4,23.0,59.0,36.1,42.0
42,Chris Olave,WR,NO,44.4,4,37.0,61.0,35.6,44.0
43,Josh Jacobs,RB,GB,45.7,4,42.0,46.0,39.8,55.0
44,Jared Goff,QB,DET,47.42,4,79.0,14.0,61.7,35.0
45,Kyren Williams,RB,LAR,47.5,4,46.0,51.0,44.0,49.0
46,Breece Hall,RB,NYJ,50.48,4,43.0,58.0,43.9,57.0
47,Zay Flowers,WR,BAL,51.42,4,50.0,56.0,51.7,48.0
48,Kyler Murray,QB,MIN,52.05,4,60.0,25.0,84.2,39.0
