Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF
1,Bijan Robinson,RB,ATL,2.4,5,3.0,3.0,1.0,1.0,4.0
2,Ja'Marr Chase,WR,CIN,2.4,5,2.0,1.0,2.0,2.0,5.0
3,Jahmyr Gibbs,RB,DET,3.0,5,4.0,2.0,3.0,3.0,3.0
4,Puka Nacua,WR,LAR,3.0,5,1.0,4.0,4.0,4.0,2.0
5,Jaxon Smith-Njigba,WR,SEA,4.2,5,5.0,5.0,5.0,5.0,1.0
6,Amon-Ra St. Brown,WR,DET,7.6,5,6.0,8.0,7.0,7.0,10.0
7,Malik Nabers,WR,NYG,8.6,5,7.0,11.0,8.0,8.0,9.0
8,Brock Bowers,TE,LV,11.0,5,14.0,14.0,10.0,10.0,7.0
9,Ashton Jeanty,RB,LV,11.2,5,16.0,6.0,14.0,14.0,6.0
10,Jeremiyah Love,RB,ARI,11.2,5,9.0,7.0,16.0,16.0,8.0
11,Justin Jefferson,WR,MIN,11.8,5,8.0,10.0,13.0,13.0,15.0
12,Trey McBride,TE,ARI,13.6,5,11.0,20.0,12.0,12.0,13.0
13,De'Von Achane,RB,MIA,15.4,5,12.0,15.0,19.0,19.0,12.0
14,Omarion Hampton,RB,LAC,15.4,5,17.0,9.0,20.0,20.0,11.0
15,CeeDee Lamb,WR,DAL,15.6,5,10.0,13.0,18.0,18.0,19.0
16,Drake London,WR,ATL,16.2,5,13.0,12.0,21.0,21.0,14.0
17,Josh Allen,QB,BUF,16.4,5,29.0,24.0,6.0,6.0,17.0
18,Drake Maye,QB,NE,19.6,5,36.0,28.0,9.0,9.0,16.0
19,Tetairoa McMillan,WR,CAR,20.4,5,18.0,16.0,23.0,23.0,22.0
20,Jonathan Taylor,RB,IND,20.8,5,22.0,18.0,22.0,22.0,20.0
21,Jayden Daniels,QB,WAS,23.2,5,24.0,31.0,15.0,15.0,31.0
22,James Cook III,RB,BUF,23.4,5,25.0,17.0,25.0,25.0,25.0
23,Nico Collins,WR,HOU,23.6,5,20.0,19.0,28.0,28.0,23.0
24,George Pickens,WR,DAL,25.2,5,21.0,23.0,27.0,27.0,28.0
25,Colston Loveland,TE,CHI,25.6,5,37.0,25.0,24.0,24.0,18.0
26,Chris Olave,WR,NO,25.8,5,23.0,27.0,29.0,29.0,21.0
27,Lamar Jackson,QB,BAL,26.2,5,41.0,26.0,17.0,17.0,30.0
28,Emeka Egbuka,WR,TB,26.8,5,28.0,22.0,30.0,30.0,24.0
29,Garrett Wilson,WR,NYJ,29.0,5,19.0,29.0,32.0,32.0,33.0
30,Joe Burrow,QB,CIN,30.8,5,57.0,43.0,11.0,11.0,32.0
31,Ladd McConkey,WR,LAC,32.4,5,35.0,21.0,36.0,36.0,34.0
32,Rashee Rice,WR,KC,33.0,4,15.0,33.0,42.0,42.0,
33,Kenneth Walker III,RB,KC,34.8,5,42.0,30.0,38.0,38.0,26.0
34,Chase Brown,RB,CIN,35.0,5,43.0,39.0,33.0,33.0,27.0
35,Tyler Warren,TE,IND,35.6,5,46.0,35.0,31.0,31.0,35.0
36,Carnell Tate,WR,TEN,36.4,5,27.0,37.0,40.0,40.0,38.0
37,Breece Hall,RB,NYJ,37.4,5,30.0,42.0,39.0,39.0,37.0
38,TreVeyon Henderson,RB,NE,37.8,5,45.0,40.0,34.0,34.0,36.0
39,Quinshon Judkins,RB,CLE,38.2,5,44.0,32.0,43.0,43.0,29.0
40,Christian McCaffrey,RB,SF,39.2,5,26.0,52.0,35.0,35.0,48.0
41,Luther Burden III,WR,CHI,40.4,5,38.0,34.0,45.0,45.0,40.0
42,Jalen Hurts,QB,PHI,42.2,5,52.0,64.0,26.0,26.0,43.0
43,Rome Odunze,WR,CHI,42.5,4,40.0,38.0,46.0,46.0,
44,Jordyn Tyson,WR,NO,42.75,4,39.0,36.0,48.0,48.0,
45,Saquon Barkley,RB,PHI,44.8,5,31.0,53.0,47.0,47.0,46.0
46,Harold Fannin Jr.,TE,CLE,45.8,5,51.0,54.0,37.0,37.0,50.0
47,Zay Flowers,WR,BAL,47.4,5,32.0,47.0,58.0,58.0,42.0
48,Bucky Irving,RB,TB,49.4,5,56.0,68.0,41.0,41.0,41.0
49,Marvin Harrison Jr.,WR,ARI,49.5,4,54.0,44.0,50.0,50.0,
50,Patrick Mahomes II,QB,KC,50.75,4,59.0,56.0,44.0,44.0,
51,Tee Higgins,WR,CIN,51.0,4,48.0,48.0,54.0,54.0,
52,Tucker Kraft,TE,GB,52.8,5,76.0,41.0,49.0,49.0,49.0
53,DeVonta Smith,WR,PHI,53.0,4,33.0,45.0,67.0,67.0,
54,Caleb Williams,QB,CHI,53.8,5,60.0,66.0,52.0,52.0,39.0
55,Jameson Williams,WR,DET,55.5,4,49.0,49.0,62.0,62.0,
56,Brian Thomas Jr.,WR,JAX,56.4,5,75.0,50.0,56.0,56.0,45.0
57,Kyren Williams,RB,LAR,58.4,5,69.0,65.0,57.0,57.0,44.0
58,Cameron Skattebo,RB,NYG,58.5,4,47.0,51.0,68.0,68.0,
59,Makai Lemon,WR,PHI,60.33,3,63.0,,59.0,59.0,
60,Jaxson Dart,QB,NYG,61.75,4,50.0,87.0,55.0,55.0,
61,Sam LaPorta,TE,DET,63.5,4,62.0,70.0,61.0,61.0,
62,Javonte Williams,RB,DAL,63.75,4,74.0,55.0,63.0,63.0,
63,Justin Herbert,QB,LAC,64.5,4,94.0,58.0,53.0,53.0,
64,Kyle Pitts Sr.,TE,ATL,65.5,4,55.0,69.0,69.0,69.0,
65,Josh Jacobs,RB,GB,66.0,4,58.0,78.0,64.0,64.0,
66,Derrick Henry,RB,BAL,66.5,4,53.0,67.0,73.0,73.0,
67,Jaylen Waddle,WR,DEN,67.0,3,61.0,,70.0,70.0,
68,KC Concepcion,WR,CLE,69.0,4,64.0,60.0,76.0,76.0,
69,Jadarian Price,RB,SEA,70.5,4,65.0,75.0,71.0,71.0,
