Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF
1,Jeremiyah Love,RB,ARI,1.0,5,1.0,1.0,1.0,1.0,1.0
2,Carnell Tate,WR,TEN,2.04,5,2.0,2.0,2.0,2.2,2.0
3,Jordyn Tyson,WR,NO,3.36,5,4.0,3.0,3.0,3.8,3.0
4,Jadarian Price,RB,SEA,4.4,5,3.0,6.0,5.0,4.0,4.0
5,Makai Lemon,WR,PHI,4.76,5,5.0,5.0,4.0,4.8,5.0
6,KC Concepcion,WR,CLE,6.44,5,7.0,7.0,6.0,6.2,6.0
7,Kenyon Sadiq,TE,NYJ,7.96,5,6.0,10.0,7.0,9.8,7.0
8,Fernando Mendoza,QB,LV,8.56,5,8.6,4.0,9.0,10.2,11.0
9,Denzel Boston,WR,CLE,9.0,5,8.0,9.0,10.0,9.0,9.0
10,Omar Cooper Jr.,WR,NYJ,9.46,5,13.0,8.0,8.0,8.3,10.0
11,De'Zhaun Stribling,WR,SF,11.36,5,9.0,12.0,12.0,15.8,8.0
12,Jonah Coleman,RB,DEN,13.66,5,16.0,13.0,16.0,10.3,13.0
13,Germie Bernard,WR,PIT,14.76,5,10.0,22.0,13.0,16.8,12.0
14,Antonio Williams,WR,WAS,18.0,5,11.0,16.0,14.0,16.0,33.0
15,Nicholas Singleton,RB,TEN,18.04,5,20.0,14.0,18.0,19.2,19.0
16,Chris Bell,WR,MIA,18.06,5,15.0,17.0,19.0,24.3,15.0
17,Eli Stowers,TE,PHI,18.5,5,30.0,15.0,11.0,20.5,16.0
18,Zachariah Branch,WR,ATL,18.64,5,14.0,18.0,20.0,17.2,24.0
19,Mike Washington Jr.,RB,LV,18.8,5,12.0,28.0,24.0,16.0,14.0
20,Ted Hurst III,WR,TB,20.44,5,24.0,20.0,17.0,24.2,17.0
21,Ja'Kobi Lane,WR,BAL,22.04,5,23.0,23.0,15.0,28.2,21.0
22,Kaytron Allen,RB,WAS,23.46,5,18.0,30.0,27.0,20.3,22.0
23,Emmett Johnson,RB,KC,23.9,5,26.0,29.0,25.0,16.5,23.0
24,Kaelon Black,RB,SF,23.96,5,17.0,27.0,32.0,25.8,18.0
25,Ty Simpson,QB,LAR,24.16,5,32.0,11.0,23.0,28.8,26.0
26,Demond Claiborne,RB,MIN,26.56,5,21.0,24.0,33.0,26.8,28.0
27,Malachi Fields,WR,NYG,27.8,5,41.0,19.0,34.0,25.0,20.0
28,Caleb Douglas,WR,MIA,27.92,5,22.0,35.0,21.0,36.6,25.0
29,Cyrus Allen,WR,KC,30.1,4,35.0,26.0,,32.4,27.0
30,Skyler Bell,WR,BUF,30.36,5,36.0,25.0,22.0,32.8,36.0
31,Elijah Sarratt,WR,BAL,31.04,5,27.0,41.0,30.0,27.2,30.0
32,Adam Randall,RB,BAL,31.8,5,25.0,38.0,31.0,36.0,29.0
33,Max Klare,TE,LAR,33.2,5,31.0,31.0,36.0,36.0,32.0
34,Brenen Thompson,WR,LAC,36.96,5,42.0,40.0,28.0,34.8,40.0
35,Seth McGowan,RB,IND,37.56,5,28.0,43.0,40.0,39.8,37.0
36,Eli Raridon,TE,NE,38.0,5,39.0,34.0,37.0,35.0,45.0
37,Oscar Delp,TE,NO,38.48,5,53.0,32.0,35.0,37.4,35.0
38,Chris Brazzell II,WR,CAR,38.5,5,63.0,39.0,26.0,33.5,31.0
39,Bryce Lance,WR,NO,38.54,5,37.0,50.0,29.0,37.7,39.0
40,Zavion Thomas,WR,CHI,39.15,4,40.0,36.0,,39.6,41.0
41,Justin Joly,TE,DEN,39.46,5,50.0,33.0,38.0,38.3,38.0
42,Carson Beck,QB,ARI,39.74,5,29.0,21.0,78.0,36.7,34.0
43,Kevin Coleman Jr.,WR,MIA,41.04,5,34.0,42.0,42.0,41.2,46.0
44,Malik Benson,WR,LV,45.24,5,45.0,47.0,39.0,46.2,49.0
45,Chase Curtis,TE,NYJ,47.0,1,,,,47.0,
46,CJ Daniels,WR,LAR,49.04,5,49.0,44.0,54.0,46.2,52.0
47,Nate Boerkircher,TE,JAX,50.5,4,43.0,57.0,43.0,59.0,
48,Drew Allar,QB,PIT,50.86,5,51.0,37.0,73.0,46.3,47.0
49,Marlin Klein,TE,HOU,51.06,5,54.0,48.0,41.0,59.3,53.0
50,Colbie Young,WR,CIN,51.2,4,46.0,51.0,,59.8,48.0
51,Robert Henry Jr.,RB,WAS,51.35,2,,,60.0,42.7,
52,Matthew Hibner,TE,BAL,52.25,4,56.0,49.0,55.0,49.0,
53,Jamarion Miller,RB,NE,53.0,5,72.0,59.0,48.0,42.0,44.0
54,Tanner Koziol,TE,JAX,53.14,5,52.0,54.0,44.0,55.7,60.0
55,Will Kacmarek,TE,MIA,53.75,4,38.0,67.0,,60.0,50.0
56,Sam Roush,TE,CHI,55.74,5,55.0,63.0,47.0,57.7,56.0
57,Reggie Virgil,WR,ARI,56.2,5,59.0,56.0,49.0,74.0,43.0
58,Eli Heidenreich,RB,PIT,56.35,4,75.0,64.0,,44.4,42.0
59,Barion Brown,WR,NO,56.75,4,47.0,72.0,,54.0,54.0
60,J'Mari Taylor,RB,JAX,57.08,4,,65.0,63.0,41.3,59.0
61,Deion Burks,WR,IND,57.56,5,67.0,61.0,53.0,49.8,57.0
62,Josh Cameron,WR,JAX,57.6,5,62.0,58.0,52.0,65.0,51.0
63,Cade Klubnik,QB,NYJ,57.64,5,58.0,45.0,81.0,46.2,58.0
64,Jack Endries,TE,CIN,59.12,4,69.0,62.0,46.0,59.5,
65,Joe Royer,TE,CLE,59.17,3,44.0,66.0,,67.5,
66,Jeff Caldwell,WR,KC,59.67,3,,85.0,51.0,43.0,
67,Josh Cuevas,TE,BAL,60.67,3,57.0,69.0,56.0,,
68,CJ Williams,WR,JAX,62.0,2,64.0,60.0,,,
69,Taylen Green,QB,CLE,62.08,4,68.0,46.0,82.0,52.3,
70,Kaden Wetjen,WR,PIT,62.88,4,61.0,71.0,,64.5,55.0
71,Tyren Montgomery,WR,TEN,64.0,1,,,,64.0,
72,Eric McAlister,WR,,64.5,2,,,79.0,50.0,
73,Seydou Traore,TE,MIA,64.67,3,74.0,68.0,,52.0,
74,Garrett Nussmeier,QB,KC,65.5,4,76.0,55.0,87.0,44.0,
75,Jaydn Ott,RB,KC,65.5,2,,75.0,,56.0,
76,Anthony Smith,WR,DAL,66.0,2,79.0,,,53.0,
77,Diego Pavia,QB,,66.0,1,,,,66.0,
78,Michael Trigg,TE,DAL,66.75,4,82.0,70.0,64.0,51.0,
79,Jack Strand,QB,ATL,67.0,1,,,,67.0,
