Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,PFF
1,Jeremiyah Love,RB,ARI,1.0,4,1.0,1.0,1.0,1.0
2,Carnell Tate,WR,TEN,3.0,4,3.0,3.0,3.0,3.0
3,Fernando Mendoza,QB,LV,3.25,4,5.0,4.0,2.0,2.0
4,Jordyn Tyson,WR,NO,3.5,4,4.0,2.0,4.0,4.0
5,Jadarian Price,RB,SEA,5.25,4,2.0,8.0,6.0,5.0
6,Makai Lemon,WR,PHI,5.5,4,6.0,5.0,5.0,6.0
7,KC Concepcion,WR,CLE,7.0,4,7.0,6.0,8.0,7.0
8,Kenyon Sadiq,TE,NYJ,8.0,4,8.0,7.0,9.0,8.0
9,Denzel Boston,WR,CLE,10.75,4,10.0,11.0,11.0,11.0
10,Omar Cooper Jr.,WR,NYJ,11.5,4,9.0,15.0,10.0,12.0
11,De'Zhaun Stribling,WR,SF,12.0,4,12.0,14.0,13.0,9.0
12,Germie Bernard,WR,PIT,14.25,4,13.0,17.0,14.0,13.0
13,Chris Bell,WR,MIA,15.5,4,17.0,10.0,19.0,16.0
14,Ty Simpson,QB,LAR,15.5,4,32.0,13.0,7.0,10.0
15,Eli Stowers,TE,PHI,17.0,4,30.0,9.0,12.0,17.0
16,Jonah Coleman,RB,DEN,17.0,4,19.0,18.0,17.0,14.0
17,Antonio Williams,WR,WAS,19.75,4,14.0,16.0,15.0,34.0
18,Mike Washington Jr.,RB,LV,19.75,4,15.0,25.0,24.0,15.0
19,Ted Hurst,WR,TB,20.25,4,26.0,19.0,18.0,18.0
20,Nicholas Singleton,RB,TEN,20.75,4,22.0,21.0,20.0,20.0
21,Caleb Douglas,WR,MIA,21.67,3,16.0,,22.0,27.0
22,Carson Beck,QB,ARI,22.0,4,11.0,27.0,29.0,21.0
23,Ja'Kobi Lane,WR,BAL,23.5,4,25.0,30.0,16.0,23.0
24,Emmett Johnson,RB,KC,24.5,4,27.0,20.0,26.0,25.0
25,Kaytron Allen,RB,WAS,24.75,4,21.0,26.0,28.0,24.0
26,Zachariah Branch,WR,ATL,26.5,4,18.0,41.0,21.0,26.0
27,Skyler Bell,WR,BUF,27.0,4,36.0,12.0,23.0,37.0
28,Kaelon Black,RB,SF,27.75,4,20.0,37.0,35.0,19.0
29,Demond Claiborne,RB,MIN,29.5,4,23.0,29.0,37.0,29.0
30,Malachi Fields,WR,NYG,30.5,4,41.0,23.0,36.0,22.0
31,Elijah Sarratt,WR,BAL,30.75,4,28.0,31.0,32.0,32.0
32,Adam Randall,RB,BAL,31.5,4,24.0,38.0,34.0,30.0
33,Cyrus Allen,WR,KC,31.5,2,35.0,,,28.0
34,Bryce Lance,WR,NO,32.75,4,37.0,22.0,31.0,41.0
35,Drew Allar,QB,PIT,35.25,4,51.0,32.0,27.0,31.0
36,Max Klare,TE,LAR,35.25,4,31.0,36.0,39.0,35.0
37,Chris Brazzell II,WR,CAR,36.25,4,63.0,24.0,25.0,33.0
38,Seth McGowan,RB,IND,37.0,3,29.0,,44.0,38.0
39,Brenen Thompson,WR,LAC,39.25,4,42.0,43.0,30.0,42.0
40,Oscar Delp,TE,NO,40.25,4,53.0,34.0,38.0,36.0
41,Eli Raridon,TE,NE,40.75,4,39.0,33.0,40.0,51.0
42,Kevin Coleman Jr.,WR,MIA,43.33,3,34.0,,46.0,50.0
43,Cade Klubnik,QB,NYJ,43.5,4,58.0,44.0,33.0,39.0
44,Zavion Thomas,WR,CHI,44.0,3,40.0,49.0,,43.0
45,Justin Joly,TE,DEN,44.5,4,50.0,47.0,41.0,40.0
46,Nate Boerkircher,TE,JAX,45.0,2,43.0,,47.0,
47,Malik Benson,WR,LV,45.75,4,45.0,42.0,43.0,53.0
48,Taylen Green,QB,CLE,46.0,4,68.0,28.0,42.0,46.0
49,Will Kacmarek,TE,MIA,46.0,2,38.0,,,54.0
50,Joe Royer,TE,CLE,47.0,2,44.0,50.0,,
51,Max Bredeson,RB,MIN,48.0,1,48.0,,,
52,Colbie Young,WR,CIN,49.0,2,46.0,,,52.0
53,Tanner Koziol,TE,JAX,50.0,2,52.0,,48.0,
54,Marlin Klein,TE,HOU,50.5,4,54.0,46.0,45.0,57.0
55,Sam Roush,TE,CHI,52.0,2,55.0,,49.0,
56,Barion Brown,WR,NO,52.5,2,47.0,,,58.0
57,Reggie Virgil,WR,ARI,53.33,3,59.0,,53.0,48.0
58,CJ Daniels,WR,LAR,54.33,3,49.0,,58.0,56.0
59,Deion Burks,WR,IND,54.67,3,67.0,40.0,57.0,
60,Jeff Caldwell,WR,KC,55.0,1,,,55.0,
61,Garrett Nussmeier,QB,KC,56.75,4,76.0,45.0,59.0,47.0
62,Jamarion Miller,RB,NE,57.67,3,72.0,,52.0,49.0
63,Josh Cameron,WR,JAX,57.67,3,62.0,,56.0,55.0
64,Cole Payton,QB,PHI,57.75,4,77.0,35.0,74.0,45.0
65,Matthew Hibner,TE,BAL,58.0,2,56.0,,60.0,
66,Josh Cuevas,TE,BAL,59.0,2,57.0,,61.0,
67,Jack Endries,TE,CIN,59.5,2,69.0,,50.0,
68,Riley Nowakowski,TE,PIT,60.0,1,60.0,,,
69,Kaden Wetjen,WR,PIT,60.5,2,61.0,,,60.0
70,Eli Heidenreich,WR,PIT,63.0,2,75.0,,51.0,
71,CJ Williams,WR,JAX,64.0,1,64.0,,,
72,DJ Rogers,TE,DAL,64.0,1,,,64.0,
73,Jaren Kanak,TE,TEN,64.5,2,66.0,,63.0,
74,Eric Rivers,WR,TB,65.0,1,,,65.0,
75,Kendrick Law,WR,DET,65.0,1,65.0,,,
76,Athan Kaliakmanis,QB,WAS,66.0,2,73.0,,,59.0
77,Bauer Sharp,TE,TB,66.0,2,70.0,,62.0,
78,Robert Henry Jr.,RB,WAS,66.0,1,,,66.0,
79,Michael Trigg,TE,DAL,66.33,3,82.0,48.0,69.0,
80,Desmond Reid,RB,BUF,67.0,1,,,67.0,
81,Emmanuel Henderson Jr.,WR,SEA,67.5,2,81.0,,54.0,
82,J'Mari Taylor,RB,JAX,68.0,1,,,68.0,
83,John Michael Gyllenborg,TE,KC,70.0,1,,,70.0,
84,Vinny Anthony II,WR,ATL,71.0,1,,,71.0,
85,Behren Morton,QB,NE,71.5,2,71.0,,72.0,
86,Luke Altmyer,QB,DET,73.0,1,,,73.0,
87,Seydou Traore,TE,MIA,74.0,1,74.0,,,
88,Joe Fagnano,QB,BAL,75.0,1,,,75.0,
89,Roman Hemby,RB,LV,76.0,1,,,76.0,
90,Kejon Owens,RB,MIN,77.0,1,,,77.0,
91,CJ Donaldson,RB,NO,78.0,1,,,78.0,
92,Lewis Bond,WR,HOU,78.0,1,78.0,,,
93,Anthony Smith,WR,DAL,79.0,1,79.0,,,
94,Jamal Haynes,RB,CIN,79.0,1,,,79.0,
95,Dallen Bentley,TE,DEN,80.0,1,80.0,,,
96,Lake McRee,TE,PIT,80.0,1,,,80.0,
97,Jordan Hudson,WR,DAL,81.0,1,,,81.0,
98,Dan Villari,TE,LAR,82.0,1,,,82.0,
99,Dae'Quan Wright,TE,PHI,83.0,1,,,83.0,
100,Cody Hardy,TE,NO,84.0,1,,,84.0,
101,Tanner Arkin,TE,NE,85.0,1,,,85.0,
102,Eric McAlister,WR,,86.0,1,,,86.0,
103,Jalen Walthall,WR,HOU,87.0,1,,,87.0,
104,Aaron Anderson,WR,CLE,88.0,1,,,88.0,
105,Noah Thomas,WR,CIN,89.0,1,,,89.0,
106,Caullin Lacy,WR,NYJ,90.0,1,,,90.0,
107,Dane Key,WR,DEN,91.0,1,,,91.0,
108,Dominic Zvada,K,NYG,140.0,2,33.0,,93.0,
109,Trey Smack,K,GB,140.0,1,,,92.0,
