Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF,Underdog,DraftSharks
1,Josh Allen,QB,BUF,1.47,7,1.0,1.0,3.0,1.0,1.0,1.3,2.0
2,Jahmyr Gibbs,RB,DET,4.53,7,4.0,2.0,2.8,11.0,7.0,1.9,3.0
3,Bijan Robinson,RB,ATL,4.86,7,5.0,3.0,1.5,12.0,8.0,3.5,1.0
4,Lamar Jackson,QB,BAL,5.79,7,3.0,8.0,10.7,2.0,4.0,3.8,9.0
5,Drake Maye,QB,NE,6.11,7,10.0,9.0,7.5,3.0,2.0,5.3,6.0
6,Ja'Marr Chase,WR,CIN,7.27,7,7.0,10.0,4.4,7.0,10.0,8.5,4.0
7,Jayden Daniels,QB,WAS,7.37,7,2.0,4.0,17.8,5.0,5.0,5.8,12.0
8,Puka Nacua,WR,LAR,8.74,7,6.0,18.0,5.2,8.0,9.0,10.0,5.0
9,Joe Burrow,QB,CIN,9.11,7,16.0,5.0,14.7,4.0,6.0,7.1,11.0
10,Christian McCaffrey,RB,SF,12.07,7,9.0,15.0,7.9,17.0,14.0,13.6,8.0
11,Jalen Hurts,QB,PHI,12.11,7,11.0,7.0,28.2,6.0,3.0,8.6,21.0
12,Jaxon Smith-Njigba,WR,SEA,13.49,7,8.0,31.0,6.9,13.0,11.0,17.5,7.0
13,Jonathan Taylor,RB,IND,14.83,7,12.0,20.0,9.5,22.0,15.0,15.3,10.0
14,Amon-Ra St. Brown,WR,DET,16.6,7,13.0,23.0,11.5,14.0,19.0,22.7,13.0
15,Caleb Williams,QB,CHI,19.13,7,38.0,16.0,22.2,9.0,18.0,11.7,19.0
16,CeeDee Lamb,WR,DAL,21.11,7,14.0,35.0,13.9,18.0,20.0,29.9,17.0
17,Justin Herbert,QB,LAC,21.4,7,39.0,17.0,33.1,10.0,12.0,12.7,26.0
18,Trevor Lawrence,QB,JAX,21.51,7,25.0,12.0,41.2,15.0,13.0,15.4,29.0
19,Justin Jefferson,WR,MIN,21.93,7,19.0,37.0,15.1,19.0,17.0,30.4,16.0
20,Dak Prescott,QB,DAL,22.41,7,26.0,6.0,39.3,16.0,21.0,14.6,34.0
21,James Cook III,RB,BUF,22.41,7,18.0,34.0,12.8,32.0,23.0,23.1,14.0
22,Jaxson Dart,QB,NYG,22.96,7,17.0,11.0,37.7,21.0,27.0,19.0,28.0
23,De'Von Achane,RB,MIA,25.47,7,15.0,33.0,18.1,36.0,22.0,36.2,18.0
24,Ashton Jeanty,RB,LV,26.43,7,28.0,47.0,15.5,29.0,25.0,25.5,15.0
25,Bo Nix,QB,DEN,28.51,7,27.0,19.0,45.3,23.0,26.0,22.3,37.0
26,Brock Purdy,QB,SF,29.06,7,33.0,22.0,52.8,20.0,16.0,18.6,41.0
27,Patrick Mahomes II,QB,KC,29.47,7,44.0,13.0,42.3,25.0,28.0,18.0,36.0
28,Drake London,WR,ATL,29.54,7,20.0,38.0,25.3,24.0,34.0,45.5,20.0
29,Saquon Barkley,RB,PHI,31.76,7,30.0,44.0,20.6,42.0,33.0,28.7,24.0
30,Chase Brown,RB,CIN,33.5,7,40.0,42.0,27.6,30.0,29.0,38.9,27.0
31,Omarion Hampton,RB,LAC,33.67,7,29.0,48.0,23.2,41.0,36.0,35.5,23.0
32,Kenneth Walker III,RB,KC,35.17,7,41.0,45.0,23.3,44.0,31.0,36.9,25.0
33,Trey McBride,TE,ARI,36.27,7,21.0,63.0,19.4,33.0,47.0,48.5,22.0
34,AJ. Brown,WR,NE,36.57,7,36.0,57.0,26.4,26.0,35.0,44.6,31.0
35,Nico Collins,WR,HOU,36.73,7,24.0,54.0,29.6,28.0,37.0,52.5,32.0
36,Derrick Henry,RB,BAL,38.14,7,31.0,36.0,31.7,58.0,40.0,32.3,38.0
