rank,name,position
1,Jeremiyah Love,RB
2,Carnell Tate,WR
3,Fernando Mendoza,QB
4,Makai Lemon,WR
5,Jordyn Tyson,WR
6,Jadarian Price,RB
7,Ty Simpson,QB
8,KC Concepcion,WR
9,Kenyon Sadiq,TE
10,Omar Cooper Jr.,WR
11,Denzel Boston,WR
12,Eli Stowers,TE
13,De'Zhaun Stribling,WR
14,Germie Bernard,WR
15,Chris Bell,WR
16,Mike Washington Jr.,RB
17,Kaelon Black,RB
18,Carson Beck,QB
19,Chris Brazzell II,WR
20,Malachi Fields,WR
21,Caleb Douglas,WR
22,Antonio Williams,WR
23,Emmett Johnson,RB
24,Ja'Kobi Lane,WR
25,Jonah Coleman,RB
26,Nicholas Singleton,RB
27,Drew Allar,QB
28,Zachariah Branch,WR
29,Adam Randall,RB
30,Max Klare,TE
31,Ted Hurst,WR
32,Oscar Delp,TE
33,Sam Roush,TE
34,Kaytron Allen,RB
35,Demond Claiborne,RB
36,Elijah Sarratt,WR
37,Skyler Bell,WR
38,Bryce Lance,WR
39,Brenen Thompson,WR
40,Reggie Virgil,WR
41,Cyrus Allen,WR
42,Seth McGowan,RB
43,Kevin Coleman Jr.,WR
44,Cade Klubnik,QB
45,CJ Daniels,WR
46,Marlin Klein,TE
47,Zavion Thomas,WR
48,Kendrick Law,WR
49,Colbie Young,WR
50,Justin Joly,TE
51,Eli Heidenreich,RB
52,Cole Payton,QB
53,Taylen Green,QB
54,Kaden Wetjen,WR
55,Barion Brown,WR
56,Athan Kaliakmanis,QB
57,Behren Morton,QB
58,Garrett Nussmeier,QB
59,Jam Miller,RB
60,Josh Cameron,WR
